Date,Site,ppt
7/12/17 12:00,M,13.2306
7/12/17 16:00,M,13.2431
7/12/17 20:00,M,13.2306
7/13/17 0:00,M,13.2104
7/13/17 4:00,M,13.1941
7/13/17 8:00,M,13.1864
7/13/17 12:00,M,13.1826
7/13/17 16:00,M,13.1856
7/13/17 20:00,M,13.1772
7/14/17 0:00,M,13.1612
7/14/17 4:00,M,13.1579
7/14/17 8:00,M,13.1847
7/14/17 12:00,M,13.1915
7/14/17 16:00,M,13.1946
7/14/17 20:00,M,13.192
7/15/17 0:00,M,13.1894
7/15/17 4:00,M,13.2047
7/15/17 8:00,M,13.2181
7/15/17 12:00,M,13.223
7/15/17 16:00,M,13.2251
7/15/17 20:00,M,13.2177
7/16/17 0:00,M,13.1934
7/16/17 4:00,M,13.227
7/16/17 8:00,M,13.251
7/16/17 12:00,M,13.2528
7/16/17 16:00,M,13.2607
7/16/17 20:00,M,13.245
7/17/17 0:00,M,13.2313
7/17/17 4:00,M,13.2333
7/17/17 8:00,M,13.2594
7/17/17 12:00,M,13.2618
7/17/17 16:00,M,13.2648
7/17/17 20:00,M,13.2584
7/18/17 0:00,M,13.2539
7/18/17 4:00,M,13.2493
7/18/17 8:00,M,13.2623
7/18/17 12:00,M,13.2628
7/18/17 16:00,M,13.2718
7/18/17 20:00,M,13.2684
7/19/17 0:00,M,13.2531
7/19/17 4:00,M,13.2733
7/19/17 8:00,M,13.2723
7/19/17 12:00,M,13.2776
7/19/17 16:00,M,13.2788
7/19/17 20:00,M,13.2699
7/20/17 0:00,M,13.2658
7/20/17 4:00,M,13.2557
7/20/17 8:00,M,13.2676
7/20/17 12:00,M,13.2681
7/20/17 16:00,M,13.2674
7/20/17 20:00,M,13.2594
7/21/17 0:00,M,13.2467
7/21/17 4:00,M,13.2562
7/21/17 8:00,M,13.2533
7/21/17 12:00,M,13.2566
7/21/17 16:00,M,13.2617
7/21/17 20:00,M,13.2548
7/22/17 0:00,M,13.251
7/22/17 4:00,M,13.245
7/22/17 8:00,M,13.2505
7/22/17 12:00,M,13.2528
7/22/17 16:00,M,13.2572
7/22/17 20:00,M,13.2442
7/23/17 0:00,M,13.2707
7/23/17 4:00,M,13.2645
7/23/17 8:00,M,13.271
7/23/17 12:00,M,13.2696
7/23/17 16:00,M,13.2886
7/23/17 20:00,M,13.295
7/24/17 0:00,M,13.2852
7/24/17 4:00,M,13.2812
7/24/17 8:00,M,13.2932
7/24/17 12:00,M,13.2999
7/24/17 16:00,M,13.3077
