Year,Date,Site,ppt
2018,4/13/18 13:00,M,13.2172
2018,4/13/18 19:00,M,13.143
2018,4/14/18 1:00,M,13.1185
2018,4/14/18 7:00,M,13.1078
2018,4/14/18 13:00,M,13.091
2018,4/14/18 19:00,M,13.0829
2018,4/15/18 1:00,M,13.0726
2018,4/15/18 7:00,M,13.0615
2018,4/15/18 13:00,M,13.0678
2018,4/15/18 19:00,M,13.0934
2018,4/16/18 1:00,M,13.0977
2018,4/16/18 7:00,M,13.1125
2018,4/16/18 13:00,M,13.1244
2018,4/16/18 19:00,M,13.1371
2018,4/17/18 1:00,M,13.1443
2018,4/17/18 7:00,M,13.1674
2018,4/17/18 13:00,M,13.1387
2018,4/17/18 19:00,M,13.1443
2018,4/18/18 1:00,M,13.0575
2018,4/18/18 7:00,M,13.086
2018,4/18/18 13:00,M,13.1139
2018,4/18/18 19:00,M,13.1281
2018,4/19/18 1:00,M,13.1399
2018,4/19/18 7:00,M,13.1388
2018,4/19/18 13:00,M,13.1552
2018,4/19/18 19:00,M,13.1578
2018,4/20/18 1:00,M,13.1553
2018,4/20/18 7:00,M,13.1651
2018,4/20/18 13:00,M,13.1995
2018,4/20/18 19:00,M,13.2149
2018,4/21/18 1:00,M,13.2085
2018,4/21/18 7:00,M,13.2257
2018,4/21/18 13:00,M,13.2408
2018,4/21/18 19:00,M,13.2562
2018,4/22/18 1:00,M,13.2512
2018,4/22/18 7:00,M,13.2563
2018,4/22/18 13:00,M,13.2715
2018,4/22/18 19:00,M,13.2784
2018,4/23/18 1:00,M,13.2767
2018,4/23/18 7:00,M,13.2841
2018,4/23/18 13:00,M,13.2894
2018,4/23/18 19:00,M,13.2914
2018,4/24/18 1:00,M,13.2873
2018,4/24/18 7:00,M,13.2991
2018,4/24/18 13:00,M,13.3073
2018,4/24/18 19:00,M,13.3025
2018,4/25/18 1:00,M,13.3096
2018,4/25/18 7:00,M,13.3113
2018,4/25/18 13:00,M,13.3135
2018,4/25/18 19:00,M,13.3202
2018,4/26/18 1:00,M,13.3287
2018,4/26/18 7:00,M,13.3202
2018,4/26/18 13:00,M,13.3336
2018,4/26/18 19:00,M,13.3366
2018,4/27/18 1:00,M,13.3419
2018,4/27/18 7:00,M,13.3438
2018,4/27/18 13:00,M,13.3469
2018,4/27/18 19:00,M,13.346
2018,4/28/18 1:00,M,13.3584
2018,4/28/18 7:00,M,13.3689
2018,4/28/18 13:00,M,13.371
2018,4/28/18 19:00,M,13.3802
2018,4/29/18 1:00,M,13.3775
2018,4/29/18 7:00,M,13.3782
2018,4/29/18 13:00,M,13.3828
2018,4/29/18 19:00,M,13.3903
2018,4/30/18 1:00,M,13.3953
2018,4/30/18 7:00,M,13.3999
2018,4/30/18 13:00,M,13.4118
2018,4/30/18 19:00,M,13.4159
2018,5/1/18 1:00,M,13.4144
2018,5/1/18 7:00,M,13.4235
2018,5/1/18 13:00,M,13.4352
2018,5/1/18 19:00,M,13.4385
2018,5/2/18 1:00,M,13.4423
2018,5/2/18 7:00,M,13.428
2018,5/2/18 13:00,M,13.4404
2018,5/2/18 19:00,M,13.4435
2018,5/3/18 1:00,M,13.4382
2018,5/3/18 7:00,M,13.4445
2018,5/3/18 13:00,M,13.4497
2018,5/3/18 19:00,M,13.4531
2018,5/4/18 1:00,M,13.4546
2018,5/4/18 7:00,M,13.4553
2018,5/4/18 13:00,M,13.462
2018,5/4/18 19:00,M,13.4666
2018,5/5/18 1:00,M,13.468
2018,5/5/18 7:00,M,13.4729
2018,5/5/18 13:00,M,13.4737
2018,5/5/18 19:00,M,13.4725
2018,5/6/18 1:00,M,13.4748
2018,5/6/18 7:00,M,13.4766
2018,5/6/18 13:00,M,13.4799
2018,5/6/18 19:00,M,13.4771
2018,5/7/18 1:00,M,13.4824
2018,5/7/18 7:00,M,13.4794
2018,5/7/18 13:00,M,13.4548
2018,5/7/18 19:00,M,13.4491
