Site,Number,Treatment,spp,PH,Stems,Lvs,Tin Weight ,Dry Mass in Bags,Dry Mass + Tins,Dry Mass in Tins,Bmass,,
F,1,CT,If,,,,,,,0,0,,
F,1,CT,Bh,,,,,,,0,0,,
F,1,CT,Pv,60,3,11,,0.58,,0,0.58,,
F,1,CT,Pa,4.5,1,3,,0.01,,0,0.01,,
F,1,CC,If,,,,,,,0,0,,
F,1,CC,Bh,19.8,1,14,,0.39,,0,0.39,,
F,1,CC,Pv,107,8,35,,3.66,,0,3.66,,
F,1,CC,Pa,75,3,29,,1.66,,0,1.66,,
F,1,CG,If,,,,,,,0,0,,
F,1,CG,Bh,,,,,,,0,0,,
F,1,CG,Pv,136,13,52,,8.71,,0,8.71,,
F,1,CG,Pa,98,1,15,,1.2,,0,1.2,,
F,2,CT,If,53,1,22,,2.21,,0,2.21,,
F,2,CT,Bh,,,,,,,0,0,,
F,2,CT,Pv,93,6,31,,3.87,,0,3.87,,
F,2,CT,Pa,49,1,15,,0.38,,0,0.38,,
F,2,CC,If,,,,,,,0,0,,
F,2,CC,Bh,12.5,1,10,,0.21,,0,0.21,,
F,2,CC,Pv,139,9,29,,7.29,,0,7.29,,
F,2,CC,Pa,118,2,20,,3.91,,0,3.91,,
F,2,CG,If,19,1,2,,0.08,,0,0.08,,
F,2,CG,Bh,,,,,,,0,0,,
F,2,CG,Pv,79,4,19,,1.94,,0,1.94,,
F,2,CG,Pa,69,5,47,,1.95,,0,1.95,,
F,3,CT,If,68,1,34,,6.05,,0,6.05,,
F,3,CT,Bh,12,1,13,,0.11,,0,0.11,,
F,3,CT,Pv,106,7,43,,5.41,,0,5.41,,
F,3,CT,Pa,92,6,71,,5.73,,0,5.73,,
F,3,CC,If,49,1,11,,1.18,,0,1.18,,
F,3,CC,Bh,15,1,8,,0.17,,0,0.17,,
F,3,CC,Pv,115,20,106,,16.8,,0,16.8,,
F,3,CC,Pa,102,7,78,,6.41,,0,6.41,,
F,3,CG,If,,,,,,,0,0,,
F,3,CG,Bh,5,1,3,,0.01,,0,0.01,,
F,3,CG,Pv,140,12,53,,8.08,,0,8.08,,
F,3,CG,Pa,110,7,90,,6.34,,0,6.34,,
F,4,CT,If,,,,,,,0,0,,
F,4,CT,Bh,,,,,,,0,0,,
F,4,CT,Pv,130,20,79,,16.77,,0,16.77,,
F,4,CT,Pa,92,8,71,,5.7,,0,5.7,,
F,4,CC,If,89,1,68,,14.42,,0,14.42,,
F,4,CC,Bh,,,,,,,0,0,,
F,4,CC,Pv,145,11,33,,20.9,,0,20.9,,
F,4,CC,Pa,47,5,26,,1.16,,0,1.16,,
F,4,CG,If,,,,,,,0,0,,
F,4,CG,Bh,,,,,,,0,0,,
F,4,CG,Pv,89,7,32,,3.08,,0,3.08,,
F,4,CG,Pa,198,22,285,,69.86,,0,69.86,,
F,5,CT,If,,,,,,,0,0,,
F,5,CT,Bh,,,,,,,0,0,,
F,5,CT,Pv,131,4,18,,11.25,,0,11.25,,
F,5,CT,Pa,111,2,57,,4.08,,0,4.08,,
F,5,CC,If,,,,,,,0,0,,
F,5,CC,Bh,,,,,,,0,0,,
F,5,CC,Pv,113,13,81,,17.03,,0,17.03,,
F,5,CC,Pa,155,4,41,,16.21,,0,16.21,,
F,5,CG,If,90,1,32,,8.47,,0,8.47,,
F,5,CG,Bh,,,,,,,0,0,,
F,5,CG,Pv,156,10,51,,24.53,,0,24.53,,
F,5,CG,Pa,180,26,316,,96.89,,0,96.89,,
F,6,CT,If,69,1,3,,4.65,,0,4.65,,
F,6,CT,Bh,,,,,,,0,0,,
F,6,CT,Pv,147,44,172,,40.06,,0,40.06,,
F,6,CT,Pa,109,16,233,,21.86,,0,21.86,,
F,6,CC,If,79,1,54,,11.32,,0,11.32,,
F,6,CC,Bh,,,,,,,0,0,,
F,6,CC,Pv,179,10,43,,19.41,,0,19.41,,
F,6,CC,Pa,92,1,24,,1.95,,0,1.95,,
F,6,CG,If,,,,,,,0,0,,
F,6,CG,Bh,,,,,,,0,0,,
F,6,CG,Pv,172,23,99,,46.23,,0,46.23,,
F,6,CG,Pa,195,18,246,,70.96,,0,70.96,,
F,7,CT,If,62,4,44,,4.64,,0,4.64,,
F,7,CT,Bh,,,,,,,0,0,,
F,7,CT,Pv,118,9,45,,11.49,,0,11.49,,
F,7,CT,Pa,52,5,50,,1.01,,0,1.01,,
F,7,CC,If,,,,,,,0,0,,
