Site,Number,Treatment,Spp,TIME_1,STATUS_1,TIME_2,STATUS_2,TIME_F,STATUS_F
F,1,CT,IF,121,1,72,2,433,2
F,1,CT,BH,121,1,0,2,241,2
F,1,CT,PV,121,1,88,1,449,1
F,1,CT,PA,99,2,12,2,111,2
F,1,CC,IF,121,1,0,2,241,2
F,1,CC,BH,121,1,88,1,449,1
F,1,CC,PV,121,1,88,1,449,1
F,1,CC,PA,121,1,88,1,449,1
F,1,CG,IF,121,1,0,2,241,2
F,1,CG,BH,121,1,0,2,241,2
F,1,CG,PV,121,1,88,1,449,1
F,1,CG,PA,121,1,88,1,449,1
F,2,CT,IF,121,1,88,1,449,1
F,2,CT,BH,56,2,0,2,56,2
F,2,CT,PV,121,1,88,1,449,1
F,2,CT,PA,92,2,88,1,180,2
F,2,CC,IF,121,1,0,2,241,2
F,2,CC,BH,121,1,88,1,449,1
F,2,CC,PV,121,1,88,1,449,1
F,2,CC,PA,121,1,88,1,449,1
F,2,CG,IF,121,1,88,1,449,1
F,2,CG,BH,121,1,0,2,241,2
F,2,CG,PV,121,1,88,1,449,1
F,2,CG,PA,121,1,88,1,449,1
F,3,CT,IF,121,1,88,1,449,1
F,3,CT,BH,121,1,88,1,449,1
F,3,CT,PV,121,1,88,1,449,1
F,3,CT,PA,121,1,88,1,449,1
F,3,CC,IF,121,1,88,1,449,1
F,3,CC,BH,121,1,88,1,449,1
F,3,CC,PV,121,1,88,1,449,1
F,3,CC,PA,121,1,88,1,449,1
F,3,CG,IF,121,1,0,2,241,2
F,3,CG,BH,121,1,88,1,449,1
F,3,CG,PV,121,1,88,1,449,1
F,3,CG,PA,121,1,88,1,449,1
F,4,CT,IF,121,1,88,1,449,1
F,4,CT,BH,121,1,88,1,449,1
F,4,CT,PV,121,1,88,1,449,1
F,4,CT,PA,121,1,88,1,449,1
F,4,CC,IF,121,1,88,1,449,1
F,4,CC,BH,121,1,88,1,449,1
F,4,CC,PV,121,1,0,2,241,2
F,4,CC,PA,121,1,88,1,449,1
F,4,CG,IF,121,1,88,1,449,1
F,4,CG,BH,121,1,0,2,241,2
F,4,CG,PV,121,1,88,1,449,1
F,4,CG,PA,121,1,88,1,449,1
F,5,CT,IF,121,1,0,2,241,2
F,5,CT,BH,14,2,0,2,14,2
F,5,CT,PV,121,1,81,2,442,2
F,5,CT,PA,63,2,88,1,151,2
F,5,CC,IF,121,1,19,2,380,2
F,5,CC,BH,20,2,19,2,39,2
F,5,CC,PV,121,1,88,1,449,1
F,5,CC,PA,121,1,88,1,449,1
F,5,CG,IF,121,1,88,1,449,1
F,5,CG,BH,92,2,19,2,111,2
F,5,CG,PV,121,1,88,1,449,1
F,5,CG,PA,121,1,88,1,449,1
F,6,CT,IF,121,1,88,1,449,1
F,6,CT,BH,71,2,12,2,83,2
F,6,CT,PV,121,1,88,1,449,1
F,6,CT,PA,121,1,88,1,449,1
F,6,CC,IF,121,1,88,1,449,1
F,6,CC,BH,5,2,88,1,93,2
F,6,CC,PV,120,2,88,1,208,2
F,6,CC,PA,71,2,59,2,130,2
F,6,CG,IF,121,1,88,1,449,1
F,6,CG,BH,5,2,0,2,5,2
F,6,CG,PV,121,1,88,1,449,1
F,6,CG,PA,121,1,88,1,449,1
F,7,CT,IF,120,2,88,1,208,2
F,7,CT,BH,5,2,0,2,5,2
F,7,CT,PV,121,1,88,1,449,1
F,7,CT,PA,121,1,88,1,449,1
F,7,CC,IF,121,1,12,2,373,2
F,7,CC,BH,121,1,88,1,449,1
F,7,CC,PV,121,1,88,1,449,1
F,7,CC,PA,121,1,88,1,449,1
F,7,CG,IF,121,1,19,2,380,2
F,7,CG,BH,121,1,0,2,241,2
F,7,CG,PV,121,1,88,1,449,1
F,7,CG,PA,121,1,88,1,449,1
F,8,CT,IF,112,2,12,2,124,2
F,8,CT,BH,121,1,0,2,241,2
F,8,CT,PV,48,2,88,1,136,2
F,8,CT,PA,81,2,0,2,81,2
F,8,CC,IF,121,1,88,1,449,1
F,8,CC,BH,76,2,0,2,76,2
F,8,CC,PV,121,1,88,1,449,1
F,8,CC,PA,121,1,88,1,449,1
F,8,CG,IF,121,1,51,2,412,2
F,8,CG,BH,20,2,19,2,39,2
F,8,CG,PV,121,1,88,1,449,1
F,8,CG,PA,121,1,88,1,449,1
F,9,CT,IF,121,1,0,2,241,2
F,9,CT,BH,14,2,0,2,14,2
F,9,CT,PV,121,1,88,1,449,1
F,9,CT,PA,120,2,51,2,171,2
F,9,CC,IF,121,1,0,2,241,2
F,9,CC,BH,5,2,19,2,24,2
F,9,CC,PV,121,1,88,1,449,1
F,9,CC,PA,121,1,88,1,449,1
F,9,CG,IF,121,1,88,1,449,1
F,9,CG,BH,121,1,0,2,241,2
F,9,CG,PV,121,1,88,1,449,1
F,9,CG,PA,121,1,88,1,449,1
F,10,CT,IF,121,1,0,2,241,2
F,10,CT,BH,76,2,0,2,76,2
F,10,CT,PV,120,2,88,1,208,2
F,10,CT,PA,92,2,88,1,180,2
F,10,CC,IF,121,1,88,1,449,1
F,10,CC,BH,121,1,88,1,449,1
F,10,CC,PV,121,1,88,1,449,1
F,10,CC,PA,121,1,12,2,373,2
F,10,CG,IF,121,1,88,1,449,1
F,10,CG,BH,121,1,88,1,449,1
F,10,CG,PV,121,1,88,1,449,1
F,10,CG,PA,121,1,88,1,449,1
F,11,CT,IF,121,1,88,1,449,1
F,11,CT,BH,76,2,0,2,76,2
F,11,CT,PV,121,1,88,1,449,1
F,11,CT,PA,121,1,0,2,241,2
F,11,CC,IF,34,2,0,2,34,2
F,11,CC,BH,20,2,19,2,39,2
F,11,CC,PV,120,2,88,1,208,2
F,11,CC,PA,99,2,88,1,187,2
F,11,CG,IF,121,1,88,1,449,1
F,11,CG,BH,121,1,0,2,241,2
F,11,CG,PV,121,1,88,1,449,1
F,11,CG,PA,121,1,88,1,449,1
F,12,CT,IF,121,1,0,2,241,2
F,12,CT,BH,121,1,12,2,373,2
F,12,CT,PV,121,1,88,1,449,1
F,12,CT,PA,99,2,12,2,111,2
F,12,CC,IF,121,1,34,2,395,2
F,12,CC,BH,76,2,0,2,76,2
F,12,CC,PV,121,1,88,1,449,1
F,12,CC,PA,121,1,88,1,449,1
F,12,CG,IF,121,1,88,1,449,1
F,12,CG,BH,56,2,0,2,56,2
F,12,CG,PV,121,1,88,1,449,1
F,12,CG,PA,121,1,88,1,449,1
F,13,CT,IF,121,1,0,2,241,2
F,13,CT,BH,63,2,0,2,63,2
F,13,CT,PV,121,1,88,1,449,1
F,13,CT,PA,92,2,88,1,180,2
F,13,CC,IF,112,2,0,2,112,2
F,13,CC,BH,92,2,0,2,92,2
F,13,CC,PV,120,2,0,2,120,2
F,13,CC,PA,121,1,88,1,449,1
F,13,CG,IF,121,1,0,2,241,2
F,13,CG,BH,20,2,0,2,20,2
F,13,CG,PV,121,1,88,1,449,1
F,13,CG,PA,121,1,88,1,449,1
F,14,CT,IF,121,1,88,1,449,1
F,14,CT,BH,81,2,0,2,81,2
F,14,CT,PV,121,1,88,1,449,1
