Year,Site,Number,Meter Light PPFD,Pendent Light LUX,Pendent Light PPFD,,light
2018,F,1,58,10752,1989.12,0.029158623,2.915862291
2018,F,1,56,10752,1989.12,0.028153153,2.815315315
2018,F,1,125,10752,1989.12,0.06284186,6.284185972
2018,F,1,206,10752,1989.12,0.103563385,10.35633848
2018,F,1,52,10752,1989.12,0.026142214,2.614221364
2018,F,1,57,10752,1989.12,0.028655888,2.865588803
2018,F,2,110,10752,1989.12,0.055300837,5.530083655
2018,F,2,73,10752,1989.12,0.036699646,3.669964607
2018,F,2,483,10752,1989.12,0.242820946,24.28209459
2018,F,2,521,10752,1989.12,0.261924871,26.19248713
2018,F,2,35,10752,1989.12,0.017595721,1.759572072
2018,F,2,406,10752,1989.12,0.20411036,20.41103604
2018,F,3,471,10752,1989.12,0.236788127,23.67881274
2018,F,3,89,10752,1989.12,0.044743404,4.474340412
2018,F,3,1494,10752,1989.12,0.751085907,75.10859073
2018,F,3,1569,10752,1989.12,0.788791023,78.87910232
2018,F,3,998,10752,1989.12,0.501729408,50.1729408
2018,F,3,1387,10752,1989.12,0.697293275,69.72932754
2018,F,4,1604,10752,1989.12,0.806386744,80.63867439
2018,F,4,1210,10752,1989.12,0.608309202,60.83092021
2018,F,4,1217,10752,1989.12,0.611828346,61.18283462
2018,F,4,420,10752,1989.12,0.211148649,21.11486486
2018,F,4,106,10752,1989.12,0.053289897,5.328989704
2018,F,4,116,10752,1989.12,0.058317246,5.831724582
2018,F,5,781,10240,1894.4,0.412267736,41.22677365
2018,F,5,1063,10240,1894.4,0.561127534,56.11275338
2018,F,5,760,10240,1894.4,0.401182432,40.11824324
2018,F,5,913,10240,1894.4,0.481946791,48.19467905
2018,F,5,1013,10240,1894.4,0.534733953,53.47339527
2018,F,5,1432,10240,1894.4,0.755912162,75.59121622
2018,F,6,1065,10240,1894.4,0.562183277,56.2183277
2018,F,6,1421,10240,1894.4,0.750105574,75.01055743
2018,F,6,1555,10240,1894.4,0.820840372,82.08403716
2018,F,6,1503,10240,1894.4,0.793391047,79.33910473
2018,F,6,1370,10240,1894.4,0.723184122,72.31841216
2018,F,6,1439,10240,1894.4,0.759607264,75.96072635
2018,F,7,680,10240,1894.4,0.358952703,35.89527027
2018,F,7,585,10240,1894.4,0.308804899,30.88048986
2018,F,7,785,10240,1894.4,0.414379223,41.4379223
2018,F,7,1189,10240,1894.4,0.627639358,62.76393581
2018,F,7,1000,10240,1894.4,0.527871622,52.78716216
2018,F,7,841,10240,1894.4,0.443940034,44.39400338
2018,F,8,1263,10240,1894.4,0.666701858,66.67018581
2018,F,8,1309,10240,1894.4,0.690983953,69.09839527
2018,F,8,690,10240,1894.4,0.364231419,36.42314189
2018,F,8,840,10240,1894.4,0.443412162,44.34121622
2018,F,8,1611,10240,1894.4,0.850401182,85.04011824
2018,F,8,1490,10240,1894.4,0.786528716,78.65287162
2018,F,9,560,10240,1894.4,0.295608108,29.56081081
2018,F,9,1289,10240,1894.4,0.68042652,68.04265203
2018,F,9,110,10240,1894.4,0.058065878,5.806587838
2018,F,9,104,10240,1894.4,0.054898649,5.489864865
2018,F,9,917,10240,1894.4,0.484058277,48.4058277
2018,F,9,1015,10240,1894.4,0.535789696,53.57896959
2018,F,10,765,10240,1894.4,0.403821791,40.38217905
2018,F,10,8144,10240,1894.4,4.298986486,429.8986486
2018,F,10,1216,10240,1894.4,0.641891892,64.18918919
2018,F,10,1296,10240,1894.4,0.684121622,68.41216216
2018,F,10,86,10240,1894.4,0.045396959,4.539695946
2018,F,10,92,10240,1894.4,0.048564189,4.856418919
2018,F,11,220,10240,1894.4,0.116131757,11.61317568
2018,F,11,258,10240,1894.4,0.136190878,13.61908784
2018,F,11,206,10240,1894.4,0.108741554,10.87415541
2018,F,11,163,10240,1894.4,0.086043074,8.604307432
2018,F,11,369,10240,1894.4,0.194784628,19.47846284
2018,F,11,547,10240,1894.4,0.288745777,28.8745777
2018,F,12,1539,10240,1894.4,0.812394426,81.23944257
2018,F,12,1612,10240,1894.4,0.850929054,85.09290541
2018,F,12,310,10240,1894.4,0.163640203,16.36402027
2018,F,12,460,10240,1894.4,0.242820946,24.28209459
2018,F,12,197,10240,1894.4,0.103990709,10.39907095
2018,F,12,55,10240,1894.4,0.029032939,2.903293919
2018,F,13,830,10240,1894.4,0.438133446,43.81334459
2018,F,13,790,10240,1894.4,0.417018581,41.70185811
2018,F,13,850,10240,1894.4,0.448690878,44.86908784
2018,F,13,872,10240,1894.4,0.460304054,46.03040541
2018,F,13,1061,10240,1894.4,0.560071791,56.00717905
2018,F,13,1153,10240,1894.4,0.60863598,60.86359797
2018,F,14,630,10240,1894.4,0.332559122,33.25591216
2018,F,14,1039,10240,1894.4,0.548458615,54.84586149
2018,F,14,1418,10240,1894.4,0.748521959,74.85219595
2018,F,14,1427,10240,1894.4,0.753272804,75.32728041
2018,F,14,396,10240,1894.4,0.209037162,20.90371622
2018,F,14,312,10240,1894.4,0.164695946,16.46959459
2018,F,15,912,10240,1894.4,0.481418919,48.14189189
2018,F,15,759,10240,1894.4,0.400654561,40.06545608
2018,F,15,1418,10240,1894.4,0.748521959,74.85219595
2018,F,15,1375,10240,1894.4,0.72582348,72.58234797
2018,F,15,91,10240,1894.4,0.048036318,4.803631757
2018,F,15,78,10240,1894.4,0.041173986,4.117398649
2018,F,16,365,10240,1894.4,0.192673142,19.26731419
2018,F,16,589,10240,1894.4,0.310916385,31.09163851
2018,F,16,393,10240,1894.4,0.207453547,20.74535473
2018,F,16,114,10240,1894.4,0.060177365,6.017736486
2018,F,16,1581,10240,1894.4,0.834565034,83.45650338
2018,F,16,1612,10240,1894.4,0.850929054,85.09290541
2018,F,17,1172,10240,1894.4,0.618665541,61.86655405
2018,F,17,1215,10240,1894.4,0.64136402,64.13640203
2018,F,17,930,10240,1894.4,0.490920608,49.09206081
2018,F,17,450,10240,1894.4,0.23754223,23.75422297
2018,F,17,512,10240,1894.4,0.27027027,27.02702703
2018,F,17,920,10240,1894.4,0.485641892,48.56418919
2018,F,18,485,10240,1894.4,0.256017736,25.60177365
2018,F,18,629,10240,1894.4,0.33203125,33.203125
2018,F,18,1220,10240,1894.4,0.644003378,64.40033784
2018,F,18,1340,10240,1894.4,0.707347973,70.7347973
2018,F,18,125,10240,1894.4,0.065983953,6.59839527
2018,F,18,212,10240,1894.4,0.111908784,11.19087838
2018,F,19,63,10240,1894.4,0.033255912,3.325591216
2018,F,19,72,10240,1894.4,0.038006757,3.800675676
2018,F,19,63,10240,1894.4,0.033255912,3.325591216
2018,F,19,65,10240,1894.4,0.034311655,3.431165541
2018,F,19,91,10240,1894.4,0.048036318,4.803631757
2018,F,19,73,10240,1894.4,0.038534628,3.853462838
2018,F,20,209,10240,1894.4,0.110325169,11.03251689
2018,F,20,174,10240,1894.4,0.091849662,9.184966216
2018,F,20,70,10240,1894.4,0.036951014,3.695101351
2018,F,20,400,10240,1894.4,0.211148649,21.11486486
2018,F,20,119,10240,1894.4,0.062816723,6.281672297
2018,F,20,170,10240,1894.4,0.089738176,8.973817568
2018,M,1,1520,9728,1799.68,0.844594595,84.45945946
2018,M,1,1640,9728,1799.68,0.911273115,91.12731152
2018,M,1,1638,9728,1799.68,0.910161807,91.01618065
2018,M,1,1412,9728,1799.68,0.784583926,78.4583926
2018,M,1,1630,9728,1799.68,0.905716572,90.57165718
2018,M,1,1407,9728,1799.68,0.781805654,78.18056543
2018,M,2,1630,9728,1799.68,0.905716572,90.57165718
2018,M,2,1521,9728,1799.68,0.845150249,84.51502489
2018,M,2,1438,9728,1799.68,0.799030939,79.90309388
2018,M,2,1610,9728,1799.68,0.894603485,89.46034851
2018,M,2,1628,9728,1799.68,0.904605263,90.46052632
2018,M,3,1420,9728,1799.68,0.789029161,78.90291607
2018,M,3,1560,9728,1799.68,0.866820768,86.68207681
2018,M,3,1412,9728,1799.68,0.784583926,78.4583926
2018,M,3,1320,9728,1799.68,0.733463727,73.34637269
2018,M,3,1520,9728,1799.68,0.844594595,84.45945946
2018,M,4,1170,9728,1799.68,0.650115576,65.01155761
2018,M,4,1238,9728,1799.68,0.687900071,68.79000711
2018,M,4,1416,9728,1799.68,0.786806543,78.68065434
2018,M,4,1510,9728,1799.68,0.839038051,83.90380512
2018,M,4,1139,9728,1799.68,0.632890292,63.28902916
2018,M,4,1213,9728,1799.68,0.674008713,67.40087127
2018,M,5,1570,9728,1799.68,0.872377312,87.23773115
2018,M,5,1412,9728,1799.68,0.784583926,78.4583926
2018,M,5,1333,9728,1799.68,0.740687233,74.06872333
2018,M,5,1620,9728,1799.68,0.900160028,90.01600284
2018,M,5,1307,9728,1799.68,0.72624022,72.62402205
2018,M,5,1411,9728,1799.68,0.784028272,78.40282717
2018,M,6,1412,9728,1799.68,0.784583926,78.4583926
2018,M,6,1538,9728,1799.68,0.854596373,85.45963727
2018,M,6,1444,9728,1799.68,0.802364865,80.23648649
2018,M,6,729,9728,1799.68,0.405072013,40.50720128
2018,M,6,1100,9728,1799.68,0.611219772,61.12197724
2018,M,6,1228,9728,1799.68,0.682343528,68.23435277
2018,M,7,800,9728,1799.68,0.444523471,44.45234708
2018,M,7,1175,9728,1799.68,0.652893848,65.28938478
2018,M,7,600,9728,1799.68,0.333392603,33.33926031
2018,M,7,729,9728,1799.68,0.405072013,40.50720128
2018,M,7,1200,9728,1799.68,0.666785206,66.67852063
2018,M,7,1300,9728,1799.68,0.72235064,72.23506401
2018,M,8,1620,9728,1799.68,0.900160028,90.01600284
2018,M,8,1510,9728,1799.68,0.839038051,83.90380512
2018,M,8,1312,9728,1799.68,0.729018492,72.90184922
2018,M,8,1123,9728,1799.68,0.623999822,62.39998222
2018,M,8,1638,9728,1799.68,0.910161807,91.01618065
2018,M,8,1512,9728,1799.68,0.84014936,84.01493599
2018,M,9,1601,9728,1799.68,0.889602596,88.9602596
2018,M,9,1540,9728,1799.68,0.855707681,85.57076814
2018,M,9,1320,9728,1799.68,0.733463727,73.34637269
2018,M,9,1607,9728,1799.68,0.892936522,89.2936522
2018,M,9,1401,9728,1799.68,0.778471728,77.84717283
2018,M,9,900,9728,1799.68,0.500088905,50.00889047
2018,M,10,727,9728,1799.68,0.403960704,40.39607041
2018,M,10,1412,9728,1799.68,0.784583926,78.4583926
2018,M,10,1328,9728,1799.68,0.737908962,73.79089616
2018,M,10,1428,9728,1799.68,0.793474395,79.34743954
2018,M,10,1331,9728,1799.68,0.739575925,73.95759246
2018,M,10,921,9728,1799.68,0.511757646,51.17576458
2018,M,11,1500,9728,1799.68,0.833481508,83.34815078
2018,M,11,1672,9728,1799.68,0.929054054,92.90540541
2018,M,11,1438,9728,1799.68,0.799030939,79.90309388
2018,M,11,1321,9728,1799.68,0.734019381,73.40193812
2018,M,11,1530,9728,1799.68,0.850151138,85.0151138
2018,M,11,1690,9728,1799.68,0.939055832,93.90558321
2018,M,12,1438,9728,1799.68,0.799030939,79.90309388
2018,M,12,1548,9728,1799.68,0.860152916,86.01529161
2018,M,12,1321,9728,1799.68,0.734019381,73.40193812
2018,M,12,1234,9728,1799.68,0.685677454,68.56774538
2018,M,12,1456,9728,1799.68,0.809032717,80.90327169
2018,M,12,1019,9728,1799.68,0.566211771,56.6211771
2018,M,13,1435,9728,1799.68,0.797363976,79.73639758
2018,M,13,1549,9728,1799.68,0.86070857,86.07085704
2018,M,13,1678,9728,1799.68,0.93238798,93.23879801
2018,M,13,1500,9728,1799.68,0.833481508,83.34815078
2018,M,13,1439,9728,1799.68,0.799586593,79.95865932
2018,M,13,900,9728,1799.68,0.500088905,50.00889047
2018,M,14,1450,9216,1704.96,0.850459835,85.04598348
2018,M,14,1553,9216,1704.96,0.910871809,91.08718093
2018,M,14,1342,9216,1704.96,0.78711524,78.71152402
