Transect,Site,Spp,#_I,#_E,P_E
1,F,Pa,30,28,0.9333333
1,F,Pv,40,5,0.5
1,F,If,9,0,0
1,F,Bh,0,0,0
2,F,Pa,43,32,0.74418605
2,F,Pv,18,4,0.22222222
2,F,If,0,0,0
2,F,Bh,0,0,0
3,F,Pa,10,10,1
3,F,Pv,11,9,0.81818182
3,F,If,0,0,0
3,F,Bh,0,0,0
4,F,Pa,13,11,0.84615385
4,F,Pv,13,6,0.46153846
4,F,If,6,0,0
4,F,Bh,4,0,0
5,F,Pa,11,7,0.63636364
5,F,Pv,15,13,0.8666667
5,F,If,0,0,0
5,F,Bh,0,0,0
6,F,Pa,59,35,0.59322034
6,F,Pv,48,22,0.45833333
6,F,If,0,0,0
6,F,Bh,0,0,0
7,F,Pa,9,9,1
7,F,Pv,12,7,0.58333333
7,F,If,6,0,0
7,F,Bh,7,0,0
8,F,Pa,21,19,0.9047619
8,F,Pv,43,23,0.53488372
8,F,If,0,0,0
8,F,Bh,0,0,0
9,F,Pa,14,3,0.21426571
9,F,Pv,26,2,0.07692308
9,F,If,3,0,0
9,F,Bh,0,0,0
10,F,Pa,34,27,0.79411765
10,F,Pv,50,26,0.52
10,F,If,0,0,0
10,F,Bh,0,0,0
1,E,Pa,38,7,0.18421053
1,E,Pv,6,1,0.16666667
1,E,If,4,0,0
1,E,Bh,1,0,0
2,E,Pa,135,9,0.06666667
2,E,Pv,0,0,0
2,E,If,19,0,0
2,E,Bh,0,0,0
3,E,Pa,28,11,0.39285714
3,E,Pv,17,16,0.94117647
3,E,If,58,0,0
3,E,Bh,1,0,0
4,E,Pa,25,7,0.28
4,E,Pv,4,2,0.5
4,E,If,37,0,0
4,E,Bh,0,0,0
5,E,Pa,28,1,0.03571429
5,E,Pv,35,22,0.62857143
5,E,If,44,0,0
5,E,Bh,0,0,0
6,E,Pa,68,48,0.70588235
6,E,Pv,8,8,1
6,E,If,23,0,0
6,E,Bh,0,0,0
7,E,Pa,76,59,0.77631579
7,E,Pv,4,4,1
7,E,If,30,0,0
7,E,Bh,0,0,0
8,E,Pa,5,4,0.8
8,E,Pv,9,6,0.6666667
8,E,If,35,0,0
8,E,Bh,3,0,0
9,E,Pa,30,11,0.36666667
9,E,Pv,4,4,1
9,E,If,38,0,0
9,E,Bh,1,0,0
10,E,Pa,111,24,0.21621622
10,E,Pv,10,4,0.4
10,E,If,39,0,0
10,E,Bh,4,0,0
